KPKNL,KATEGORI  PEMOHON LELANG/PENJUAL,JENIS LELANG,JAMINAN PENAWARAN LELANG,KATEGORI BARANG,UMKM,SIFAT BARANG,Jenis Lelang Umum,Quartal,Jenis Lelang Umum,NILAI LIMIT,Bulan Lelang,Tahun Lelang,JUMLAH PESERTA LELANG,STATUS LELANG,JENIS PENAWARAN
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,394000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,594000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,974000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,345000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,21397000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,10143000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,35048000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,6367000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,Alat Berat/Mesin,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,250000,6,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,3100000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,3100000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,3200000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 4, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,22600000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,3,Non Eksekusi Wajib,1100000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Padang,PEMERINTAH DAERAH,BARANG MILIK DAERAH,481000.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,963000,11,2021,7,LAKU,Internet Open Bidding
KPKNL Padang,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,2000000.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,4865524,6,2021,2,LAKU,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,550000,4,2021,0,WANPRESTASI,Internet Open Bidding
KPKNL Pekan Baru,KEMENTERIAN/LEMBAGA,BARANG MILIK BPJS,0.0,Inventaris,Tidak,BB,Non Eksekusi Wajib,2,Non Eksekusi Wajib,400000,4,2021,0,WANPRESTASI,Internet Open Bidding
KPKNL Batam,KEMENTERIAN/LEMBAGA,BARANG MILIK NEGARA,0.0,Bongkaran,Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1360000,10,2021,0,LAKU,Internet Open Bidding
KPKNL Dumai,"PT. BANK RAKYAT INDONESIA (PERSERO), Tbk",PASAL 6 UUHT,120000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,3,Eksekusi,480000000,7,2021,1,LAKU,Internet Open Bidding
KPKNL Pekan Baru,"PT. BANK MANDIRI (PERSERO), Tbk",PASAL 6 UUHT,22000000.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,4,Eksekusi,108000000,11,2021,1,LAKU,Internet Open Bidding
KPKNL Batam,BANK PERKREDITAN RAKYAT,PASAL 6 UUHT,0.0,Tanah dan Bangunan,Tidak,BTB,Eksekusi,3,Eksekusi,170000000,8,2021,0,LAKU,Internet Open Bidding
KPKNL Pekan Baru,PEMERINTAH DAERAH,BARANG MILIK DAERAH,0.0,"Roda 2, Kendaraan Bermotor",Tidak,BB,Non Eksekusi Wajib,4,Non Eksekusi Wajib,1550000,12,2021,2,LAKU,Internet Open Bidding
